"Data_source"	"Reference"	"Year_published"	"Methanogen_specific"	"Sequencing_method"	"Database_information"	"Field_vs_lab"	"Source_from_paper"	"Original_sample_ID"	"Sample_type"	"Sample_age"	"Length_experiment"	"Family_reported"	"Genus_reported"	"Species_reported"	"Family_GTDB"
"This_study"	"A (39 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"A"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"Methanoregula"	"Methanothrix soehngenii"	"Methanoregulaceae"
"This_study"	"A (39 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"A"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"This_study"	"B (37 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"B"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"Methanoregula"	"NA"	"Methanoregulaceae"
"This_study"	"B (37 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"B"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"SD8"	"NA"	"Methanoregulaceae"
"This_study"	"C (31 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"C"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum parvum"	"Methanocorpusculaceae"
"This_study"	"C (31 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"C"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus sp002506585"	"Methanocullaceae"
"This_study"	"C (31 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"C"	"Leachate"	NA	"NA"	"Methanomethylophilaceae"	"RumEn-M2"	"RumEn-M2 sp001421175"	"Methanomethylophilaceae"
"This_study"	"C (31 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"C"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"NA"	"Methanotrichaceae"
"This_study"	"D1 (26 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D1"	"Leachate"	NA	"NA"	"Methanocullaceae"	"NA"	"NA"	"Methanocullaceae"
"This_study"	"D1 (26 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D1"	"Leachate"	NA	"NA"	"Methanoperedenaceae"	"Methanoperedens"	"NA"	"Methanoperedenaceae"
"This_study"	"D1 (26 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D1"	"Leachate"	NA	"NA"	"Methanoregulaceae"	"SD8"	"NA"	"Methanoregulaceae"
"This_study"	"D1 (26 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D1"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix_A"	"Methanothrix_A harundinacea_D"	"Methanotrichaceae"
"This_study"	"D1 (26 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D1"	"Leachate"	NA	"NA"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix soehngenii"	"Methanotrichaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum sp002506085"	"Methanocorpusculaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanocorpusculaceae"	"Methanocorpusculum"	"Methanocorpusculum parvum"	"Methanocorpusculaceae"
"This_study"	"D2 (24 years old)"	2022	"No"	"Metagenomics"	"GTDB r89"	"Field"	"Raw data"	"D2"	"Leachate"	NA	"NA"	"Methanocullaceae"	"Methanoculleus"	"Methanoculleus bourgensis"	"Methanocullaceae"
