accession	domain	phylum	class	order	family	genus	species	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_902386205.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp902386205	0.0	96.08	2.01	228.0	p__Euryarchaeota (UID49)	153.0	0.0	2505150.0	89.79440999644069	88.0	1224249.0	43.881889964166795	2789873.0	GB_GCA_902386205.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp902386205	not type material	none	f	17.0	17.0	200754.0	200754.0	80417	1.0	214	CABMIH010000088.1	80417	1.0	115	CABMIH010000088.1	215	379	6.18e-104	98.605	LKCM01000080.276.3198	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	31703.0	31703.0	f	f	t	48996.0	48996.0	Contig	Candidatus Methanoperedens sp. LFW-280_3_2	na	PRJEB21808	SAMEA4835441	88	48996	none	2019-08-18	GCA_902386205.1	derived from environmental sample	full	LFW-280_3_2	none	none	0.0	0	uncultured archaeon	none	na	1	none	none	none	none	none	2019/08/18	0.0	115547.0	0	LFW-280_3_2	THE UNIVERSITY OF NEW SOUTH WALES	115547.0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	0.0	2789873.0	11	36	none	2789873.0	0.0	CABMIH000000000.1	3049.0	88.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0.0	17.0	39.0	0.0
GB_GCA_012026835.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp012026835	0.0	99.35	4.58	228.0	p__Euryarchaeota (UID49)	153.0	0.0	2952878.0	88.8919326861886	116.0	1425719.0	42.9191173415969	3321874.0	GB_GCA_012026835.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp012026835	not type material	none	f	21.0	21.0	163725.0	163725.0	none	0.0	none	none	none	0.0	none	none	none	none	none	none	none	none	28636.0	28636.0	f	f	t	49809.0	49809.0	Contig	ASM1202683v1	na	PRJNA520935	SAMN10872769	116	49809	none	2020-04-03	GCA_012026835.1	derived from metagenome	full	MnB_21	none	none	0.0	0	Candidatus Methanoperedens sp.	none	na	1	none	none	none	none	none	2020/04/03	0.0	2032688.0	1	MnB_21	University of Queensland	2032688.0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;x__unclassified Candidatus Methanoperedens;s__Candidatus Methanoperedens sp.	0.0	3321874.0	11	43	none	3321874.0	0.0	VEPN00000000.1	3686.0	116.0	11829	1.0	none	none	none	none	none	none	782	VEPN01000075.1	781	1376	0	98.464	KC604457.1.914	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;Candidatus Methanoperedens;uncultured archaeon	0.0	20.0	44.0	0.0
GB_GCA_902384525.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp902384525	0.0	97.36	1.31	228.0	p__Euryarchaeota (UID49)	153.0	50.0	2600739.0	89.0499054798409	130.0	1180914.0	40.4347687637325	2920541.0	GB_GCA_902384525.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp902384525	not type material	none	f	28.0	28.0	84283.0	84283.0	none	0.0	none	none	9890	1.0	115	CABMCA010000059.1	none	none	none	none	none	none	22465.0	22465.0	f	f	t	36134.0	36134.0	Contig	uncultured Candidatus Methanoperedens sp. LFW-24	na	PRJEB21808	SAMEA4835414	130	36134	none	2019-08-18	GCA_902384525.1	derived from environmental sample	full	LFW-24	none	none	0.0	0	uncultured archaeon	none	na	1	none	none	none	none	none	2019/08/18	0.0	115547.0	0	LFW-24	THE UNIVERSITY OF NEW SOUTH WALES	115547.0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	0.0	2920541.0	11	38	none	2920541.0	0.0	CABMCA000000000.1	3305.0	130.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0.0	18.0	42.0	0.0
GB_GCA_002839545.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens_A	Methanoperedens_A sp002839545	31.0	96.41	1.96	228.0	p__Euryarchaeota (UID49)	153.0	33.33	1771320.0	88.7762665874123	180.0	859731.0	43.1512800114437	1995263.0	GB_GCA_002839545.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens_A;s__Methanoperedens_A sp002839545	not type material	none	f	36.0	28.0	52391.0	59319.0	25589	1.0	2909	PGYG01000007.1	25589	1.0	115	PGYG01000007.1	2925	4028	0	91.658	LKCM01000080.276.3198	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	11068.0	15587.0	t	f	f	17661.0	24496.0	Scaffold	ASM283954v1	na	PRJNA321556	SAMN06767741	180	17661	none	2017-12-13	GCA_002839545.1	derived from metagenome	full	HGW-Methanoperedenaceae-1	none	none	0.0	0	Candidatus Methanoperedenaceae archaeon HGW-Methanoperedenaceae-1	2198	na	3	none	none	none	none	none	2017/12/13	52.0	2013824.0	1	HGW-Methanoperedenaceae-1	UC Berkeley	2013824.0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;x__unclassified Candidatus Methanoperedenaceae;s__Candidatus Methanoperedenaceae archaeon HGW-Methanoperedenaceae-1	2867.0	1995263.0	11	45	none	1992396.0	0.0	PGYG00000000.1	2288.0	128.0	25589	1.0	none	none	none	none	none	none	1472	PGYG01000007.1	1449	2383	0	96.48	JQ407243.1.1444	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;uncultured archaeon	2867.0	20.0	46.0	0.0
GB_GCA_902386135.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp902386135	0.0	99.35	1.31	228.0	p__Euryarchaeota (UID49)	153.0	0.0	2819111.0	86.92348013233801	120.0	1428498.0	44.045806469516286	3243210.0	GB_GCA_902386135.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp902386135	not type material	none	f	24.0	24.0	170993.0	170993.0	41030	1.0	218	CABMIB010000026.1	41030	1.0	115	CABMIB010000026.1	219	375	8.16e-103	97.717	LKCM01000080.276.3198	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	27026.0	27026.0	f	f	t	41027.0	41027.0	Contig	Candidatus Methanoperedens sp. LFW-280_3_1	na	PRJEB21808	SAMEA4835440	120	41027	none	2019-08-18	GCA_902386135.1	derived from environmental sample	full	LFW-280_3_1	none	none	0.0	0	uncultured archaeon	none	na	1	none	none	none	none	none	2019/08/18	0.0	115547.0	0	LFW-280_3_1	THE UNIVERSITY OF NEW SOUTH WALES	115547.0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	0.0	3243210.0	11	38	none	3243210.0	0.0	CABMIB000000000.1	3618.0	120.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0.0	18.0	42.0	0.0
GB_GCA_003104905.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp003104905	102.0	98.69	1.31	228.0	p__Euryarchaeota (UID49)	153.0	0.0	2623322.0	90.04903517248128	66.0	1188504.0	40.8083213672819	2913215.0	GB_GCA_003104905.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp003104905	not type material	none	f	11.0	11.0	202877.0	202877.0	none	0.0	none	none	none	0.0	none	none	none	none	none	none	none	none	44128.0	49376.0	f	f	t	84400.0	88069.0	Scaffold	ASM310490v1	na	PRJNA378332	SAMN08364719	66	84400	none	2018-05-09	GCA_003104905.1	derived from metagenome	full	FeB_1	none	none	0.0	0	Candidatus Methanoperedenaceae archaeon	2942	na	1	none	none	none	none	none	2018/05/09	7.0	2072416.0	1	FeB_1	University of Queensland	2072416.0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;x__unclassified Candidatus Methanoperedenaceae;s__Candidatus Methanoperedenaceae archaeon	707.0	2913215.0	11	45	none	2912508.0	0.0	PQAS00000000.1	3019.0	59.0	2338	1.0	none	none	none	none	none	none	1469	PQAS01000003.1	1468	2663	0	99.455	LKCM01000080.3673.5139	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	707.0	19.0	46.0	0.0
GB_GCA_012026795.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp012026795	24.0	100.0	1.31	228.0	p__Euryarchaeota (UID49)	153.0	0.0	3196901.0	89.1605623118318	71.0	1454862.0	40.578291316175	3585555.0	GB_GCA_012026795.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp012026795	not type material	none	f	13.0	13.0	264832.0	266067.0	3812	1.0	649	VEPM01000059.1	3812	2.0	115	VEPM01000059.1	650	1114	0	97.692	LKCM01000080.276.3198	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	50497.0	52728.0	f	f	t	87551.0	87551.0	Scaffold	ASM1202679v1	na	PRJNA520935	SAMN10872768	71	87551	none	2020-04-03	GCA_012026795.1	derived from metagenome	full	MnB_20	none	none	0.0	0	Candidatus Methanoperedens sp.	none	na	3	none	none	none	none	none	2020/04/03	3.0	2032688.0	1	MnB_20	University of Queensland	2032688.0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;x__unclassified Candidatus Methanoperedens;s__Candidatus Methanoperedens sp.	210.0	3585555.0	11	44	none	3585345.0	0.0	VEPM00000000.1	3736.0	68.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	210.0	19.0	45.0	0.0
RS_GCF_002487355.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp002487355	0.0	99.35	4.58	228.0	p__Euryarchaeota (UID49)	153.0	0.0	3301730.0	88.38593601052371	85.0	1504101.0	40.2641568933149	3735583.0	RS_GCF_002487355.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp002487355	not type material	none	f	18.0	18.0	192620.0	192620.0	none	0.0	none	none	none	0.0	none	none	none	none	none	none	none	none	43948.0	43948.0	f	f	t	74304.0	74304.0	Contig	ASM248735v1	na	PRJNA224116	SAMN07620899	85	74304	none	2017-10-06	GCA_002487355.1	none	full	BLZ2	none	none	0.0	0	Candidatus Methanoperedens sp. BLZ2	3883	na	0	none	none	none	none	none	2017/10/06	0.0	2035255.0	0	BLZ2	Soehngen Institute of Anaerobic Microbiology	2035255.0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;x__unclassified Candidatus Methanoperedens;s__Candidatus Methanoperedens sp. BLZ2	0.0	3735583.0	11	43	none	3735583.0	0.0	NTMG00000000.1	4043.0	85.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0.0	19.0	44.0	0.0
GB_GCA_902386255.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp902386255	0.0	98.26	0.78	228.0	p__Euryarchaeota (UID49)	153.0	100.0	2298138.0	88.3440860876415	172.0	1122252.0	43.141154839277604	2601349.0	GB_GCA_902386255.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp902386255	not type material	none	f	37.0	37.0	84096.0	84096.0	none	0.0	none	none	26848	1.0	115	CABMII010000029.1	none	none	none	none	none	none	15124.0	15124.0	f	f	t	24621.0	24621.0	Contig	Candidatus Methanoperedens sp. LFW-280_4	na	PRJEB21808	SAMEA4835442	172	24621	none	2019-08-18	GCA_902386255.1	derived from environmental sample	full	LFW-280_4	none	none	0.0	0	uncultured archaeon	none	na	1	none	none	none	none	none	2019/08/18	0.0	115547.0	0	LFW-280_4	THE UNIVERSITY OF NEW SOUTH WALES	115547.0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	0.0	2601349.0	11	40	none	2601349.0	0.0	CABMII000000000.1	2971.0	172.0	none	0.0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0.0	18.0	45.0	0.0
GB_GCA_902386115.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanoperedenaceae	Methanoperedens	Methanoperedens sp902386115	0.0	73.34	4.58	228.0	p__Euryarchaeota (UID49)	153.0	25.0	1958993.0	89.2355731891468	298.0	951940.0	43.3625396015588	2195305.0	GB_GCA_902386115.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp902386115	not type material	none	f	85.0	85.0	36628.0	36628.0	2509	1.0	235	CABMHZ010000295.1	2509	1.0	116	CABMHZ010000295.1	235	379	6.87e-104	95.745	LKCM01000080.276.3198	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Candidatus Methanoperedens;Candidatus Methanoperedens sp. BLZ1	7366.0	7366.0	f	f	t	8368.0	8368.0	Contig	Candidatus Methanoperedens sp. LFW-280_2_2	na	PRJEB21808	SAMEA4835439	298	8368	none	2019-08-18	GCA_902386115.1	derived from environmental sample	full	LFW-280_2_2	none	none	0.0	0	uncultured archaeon	none	na	1	none	none	none	none	none	2019/08/18	0.0	115547.0	0	LFW-280_2_2	THE UNIVERSITY OF NEW SOUTH WALES	115547.0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__environmental samples;s__uncultured archaeon	0.0	2195305.0	11	23	none	2195305.0	0.0	CABMHZ000000000.1	2582.0	298.0	11386	1.0	none	none	none	none	none	none	369	CABMHZ010000234.1	366	649	0	98.634	KC604501.1.913	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta;uncultured archaeon	0.0	15.0	25.0	0.0
