genome	mean_coverage_bin	total_mean_coverage_site	relative_mean_coverage_bin	3-Hydroxypropionate bi-cycle	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	"Citrate cycle (TCA cycle, Krebs cycle)"	Dicarboxylate-hydroxybutyrate cycle	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	Glyoxylate cycle	Hydroxypropionate-hydroxybutylate cycle	"Methanogenesis, CO2 => methane"	Pentose phosphate pathway (Pentose phosphate cycle)	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Reductive citrate cycle (Arnon-Buchanan cycle)	Reductive pentose phosphate cycle (Calvin cycle)	"Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"	Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	"Complex I: NADH:quinone oxidoreductase, prokaryotes"	"Complex II: Fumarate reductase, prokaryotes"	Complex II: Succinate dehydrogenase (ubiquinone)	"Complex II: Succinate dehydrogenase, prokaryotes"	Complex III: Cytochrome bc1 complex	Complex III: Cytochrome bc1 complex respiratory unit	Complex III: Cytochrome bd ubiquinol oxidase	Complex IV High affinity: Cytochrome bd ubiquinol oxidase	"Complex IV High affinity: Cytochrome c oxidase, cbb3-type"	Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase	Complex IV Low affinity: Cytochrome c oxidase	"Complex IV Low affinity: Cytochrome c oxidase, prokaryotes"	Complex IV Low affinity: Cytochrome o ubiquinol oxidase	"Complex V: F-type ATPase, eukaryotes"	"Complex V: F-type ATPase, prokaryotes and chloroplasts"	"Complex V: V-type ATPase, eukaryotes"	"Complex V: V/A-type ATPase, prokaryotes"	CAZy: Alpha-galactans	CAZy: Alpha-mannan	CAZy: Amorphous Cellulose	CAZy: Arabinan	CAZy: Arabinose cleavage	CAZy: Beta-galactan (pectic galactan)	CAZy: Beta-mannan	CAZy: Chitin	CAZy: Crystalline Cellulose	CAZy: Fucose Cleavage	CAZy: Mixed-Linkage glucans	CAZy: Mucin	CAZy: Pectin	CAZy: Polyphenolics	CAZy: Rhamnose cleavage	CAZy: Starch	CAZy: Sulf-Polysachharides	CAZy: Xylans	CAZy: Xyloglucan	Methanogenesis and methanotrophy: Key functional gene	"Methanogenesis and methanotrophy: acetate => methane, pt 1"	"Methanogenesis and methanotrophy: acetate => methane, pt 2"	"Methanogenesis and methanotrophy: acetate => methane, pt 3"	Methanogenesis and methanotrophy: dimethylamine => monomethylamine	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)"	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)"	Methanogenesis and methanotrophy: methanol => methane	Methanogenesis and methanotrophy: monomethylamine => ammonia	Methanogenesis and methanotrophy: putative but not defining CO2 => methane	Methanogenesis and methanotrophy: trimethylamine => dimethylamine	Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation	Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation	Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation	Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)	Nitrogen metabolism: Nitrogen fixation altennative	Nitrogen metabolism: ammonia => nitrite	Nitrogen metabolism: nitrate => nitrite	Nitrogen metabolism: nitric oxide => nitrous oxide	Nitrogen metabolism: nitrite => nitrate	Nitrogen metabolism: nitrite => nitric oxide	Nitrogen metabolism: nitrogen => ammonia	Nitrogen metabolism: nitrous oxide => nitrogen	Other Reductases: TMAO reductase	"Other Reductases: arsenate reduction, pt 1"	"Other Reductases: arsenate reduction, pt 2"	Other Reductases: mercury reduction	Other Reductases: selenate/Chlorate reduction	Photosynthesis: Photosystem I	Photosynthesis: Photosystem II	SCFA and alcohol conversions: Alcohol production	"SCFA and alcohol conversions: Butyrate, pt 1"	"SCFA and alcohol conversions: Butyrate, pt 2"	"SCFA and alcohol conversions: Propionate, pt 1"	"SCFA and alcohol conversions: Propionate, pt 2"	"SCFA and alcohol conversions: acetate, pt 1"	"SCFA and alcohol conversions: acetate, pt 2"	"SCFA and alcohol conversions: acetate, pt 3"	SCFA and alcohol conversions: lactate D	SCFA and alcohol conversions: lactate L	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	"Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	Sulfur metabolism: tetrathionate => thiosulfate	Sulfur metabolism: thiosulfate => sulfite	Kingdom	Phylum	Class	Order	Family	Genus	Species	Sample_site	phylum_family_genome	family_genus_genome	genus_species_genome
STA_1	8.932659957	1693.810547	0.527370666	0	0	0.75	0.384615385	0	0.555555556	0.4	0	0	0.714285714	0.142857143	0.9	0.727272727	0	0	0.642857143	0	0	0.5	0.2	0.666666667	0	0	0.666666667	0	0	0	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__BN30871	s__	A	"p__Campylobacterota , f__Sulfurovaceae ( STA_1 )"	"f__Sulfurovaceae , g__BN30871 ( STA_1 )"	"g__BN30871 , s__ ( STA_1 )"
STA_10	5.882275115	1693.810547	0.347280581	0	0	0	0.076923077	0.25	0.555555556	0	0	0	0.285714286	0	0.1	0.363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria	p__Patescibacteria	c__Paceibacteria_A	o__Moranbacterales	f__GWC2-37-73	g__UBA12068	s__	A	"p__Patescibacteria , f__GWC2-37-73 ( STA_10 )"	"f__GWC2-37-73 , g__UBA12068 ( STA_10 )"	"g__UBA12068 , s__ ( STA_10 )"
STA_11	2.578845452	1693.810547	0.152251115	0	1	0.375	0.384615385	0.25	0.777777778	0	0.214285714	0.125	0.714285714	0.285714286	0.5	0.545454545	0.090909091	0	0.714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__UBA1162	s__	A	"p__Chloroflexota , f__UBA5629 ( STA_11 )"	"f__UBA5629 , g__UBA1162 ( STA_11 )"	"g__UBA1162 , s__ ( STA_11 )"
STA_12	5.872824304	1693.810547	0.34672262	0	0	0.875	0.384615385	0	0.666666667	0.6	0	0	0.714285714	0.142857143	0.9	0.727272727	0	0	0.714285714	0	0	0.5	0.3	1	0	0	0.666666667	0	0	0	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__	A	"p__Campylobacterota , f__Sulfurimonadaceae ( STA_12 )"	"f__Sulfurimonadaceae , g__Sulfurimonas ( STA_12 )"	"g__Sulfurimonas , s__ ( STA_12 )"
STA_13	3.027842246	1693.810547	0.178759204	0.25	0	0.875	0.384615385	0.75	0.666666667	0.6	0	0.375	1	0.142857143	0.6	0.636363636	0	0	0.416666667	0	0	1	0.3	1	1	1	0	0	0.2	1	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylobacter_A	s__	A	"p__Proteobacteria , f__Methylomonadaceae ( STA_13 )"	"f__Methylomonadaceae , g__Methylobacter_A ( STA_13 )"	"g__Methylobacter_A , s__ ( STA_13 )"
STA_14	2.295590533	1693.810547	0.135528176	0	0	0.375	0.153846154	0	0.444444444	0	0	0	0.714285714	0.142857143	0.3	0.454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.555555556	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria	p__Margulisbacteria	c__WOR-1	o__O2-12-FULL-45-9	f__	g__	s__	A	"p__Margulisbacteria , f__ ( STA_14 )"	"f__ , g__ ( STA_14 )"	"g__ , s__ ( STA_14 )"
STA_15	74.46727339	1693.810547	4.396434626	0	0	0.875	0.307692308	0.5	0.777777778	0.4	0	0.125	0.857142857	0.142857143	0.7	0.818181818	0	0	1	0	0	0.75	0.3	1	1	1	1	0	0	0	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sulfuricellaceae	g__Sulfuricella_A	s__	A	"p__Proteobacteria , f__Sulfuricellaceae ( STA_15 )"	"f__Sulfuricellaceae , g__Sulfuricella_A ( STA_15 )"	"g__Sulfuricella_A , s__ ( STA_15 )"
STA_16	267.7783123	1693.810547	15.80922452	0	0	0.25	0.230769231	0	0.555555556	0.2	0	0	0.571428571	0	0.5	0.545454545	0	0	0.642857143	0	0	0.25	0.3	1	0	0	0.666666667	0	0	0	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfuricurvum	s__	A	"p__Campylobacterota , f__Sulfurimonadaceae ( STA_16 )"	"f__Sulfurimonadaceae , g__Sulfuricurvum ( STA_16 )"	"g__Sulfuricurvum , s__ ( STA_16 )"
STA_17	197.8901893	1693.810547	11.68313597	0	0	0.875	0.384615385	0.5	0.777777778	0.6	0	0	0.857142857	0.142857143	0.8	0.909090909	0	0	1	0	0	1	0.3	1	0.333333333	0.333333333	1	0	0.133333333	0	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Gallionella	s__	A	"p__Proteobacteria , f__Gallionellaceae ( STA_17 )"	"f__Gallionellaceae , g__Gallionella ( STA_17 )"	"g__Gallionella , s__ ( STA_17 )"
STA_18	53.32215544	1693.810547	3.148059004	0.25	0	0.875	0.461538462	0.25	0.666666667	0.4	0.142857143	0.125	0.857142857	0.142857143	0.7	0.909090909	0	0	1	0.25	0	1	0.3	1	0	0	1	0	0.2	1	0	0	1	0	0.444444444	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Hydrogenophilaceae	g__UBA3361	s__	A	"p__Proteobacteria , f__Hydrogenophilaceae ( STA_18 )"	"f__Hydrogenophilaceae , g__UBA3361 ( STA_18 )"	"g__UBA3361 , s__ ( STA_18 )"
