Bin_ID	Marker_lineage_number		Number_genomes	Number_markers	Number_marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain_heterogeneity
STA_1	k__Bacteria	(UID3060)	138	335	244	0	326	9	0	0	0	100	1.95	0
STB_36	k__Bacteria	(UID2569)	434	278	186	0	276	2	0	0	0	100	1.08	0
STB_57	k__Bacteria	(UID2569)	434	278	186	0	265	13	0	0	0	100	5.66	7.69
STB_71	k__Bacteria	(UID2495)	2993	147	91	0	145	2	0	0	0	100	2.2	0
STC_23	p__Proteobacteria	(UID3061)	115	395	260	0	391	4	0	0	0	100	1.54	25
STCSWMC_224	k__Bacteria	(UID209)	5443	105	59	0	105	0	0	0	0	100	0	0
STCSWMC_226	p__Proteobacteria	(UID3061)	115	395	260	0	393	2	0	0	0	100	0.77	0
STCSWMC_40	k__Bacteria	(UID2328)	3167	126	75	0	126	0	0	0	0	100	0	0
STCSWMC_58	k__Bacteria	(UID2569)	434	278	186	0	272	6	0	0	0	100	2.8	0
STCSWMC_92	k__Bacteria	(UID209)	5443	105	59	0	105	0	0	0	0	100	0	0
STD2_117	k__Bacteria	(UID2495)	2993	147	91	0	145	2	0	0	0	100	1.65	0
STD2_17	k__Bacteria	(UID2372)	131	177	106	0	177	0	0	0	0	100	0	0
STD2_1	c__Gammaproteobacteria	(UID4761)	52	693	297	0	688	5	0	0	0	100	0.79	20
STD2_253	k__Bacteria	(UID2328)	3167	126	75	0	126	0	0	0	0	100	0	0
STD2_5	k__Bacteria	(UID2569)	434	278	186	0	275	3	0	0	0	100	1.34	0
STD2_89	k__Bacteria	(UID2569)	434	277	185	0	276	1	0	0	0	100	0.02	0
STE_114	c__Gammaproteobacteria	(UID4202)	67	481	276	0	464	17	0	0	0	100	2.74	0
STE_134	c__Betaproteobacteria	(UID3959)	235	420	211	0	418	2	0	0	0	100	0.95	0
STE_144	k__Bacteria	(UID2495)	2993	147	91	0	144	3	0	0	0	100	3.3	0
STE_164	p__Euryarchaeota	(UID49)	95	227	152	0	227	0	0	0	0	100	0	0
STF1_150	k__Bacteria	(UID209)	5443	105	59	0	104	1	0	0	0	100	1.69	100
STF1_154	k__Bacteria	(UID2565)	2921	142	87	0	141	1	0	0	0	100	1.15	0
STF1_179	k__Bacteria	(UID209)	5443	105	59	0	105	0	0	0	0	100	0	0
STF1_253	k__Bacteria	(UID2328)	3167	126	75	0	126	0	0	0	0	100	0	0
STF2_103	k__Bacteria	(UID2372)	131	177	106	0	172	5	0	0	0	100	1.89	0
STF2_144	k__Bacteria	(UID2495)	2993	147	91	0	146	1	0	0	0	100	1.1	0
STF2_202	k__Bacteria	(UID209)	5443	105	59	0	105	0	0	0	0	100	0	0
STF2_220	k__Bacteria	(UID209)	5443	105	59	0	105	0	0	0	0	100	0	0
STF2_45	k__Bacteria	(UID2328)	3167	126	75	0	126	0	0	0	0	100	0	0
STF2_94	o__Clostridiales	(UID1120)	304	247	141	0	245	2	0	0	0	100	0.28	100
STB_66	o__Rhodospirillales	(UID3754)	63	336	201	1	331	4	0	0	0	99.98	1.74	0
STC_13	o__Rhodospirillales	(UID3754)	63	336	201	1	333	2	0	0	0	99.98	1	0
STF1_54	o__Burkholderiales	(UID4000)	193	427	214	1	422	4	0	0	0	99.98	0.61	0
STCSWMC_168	k__Bacteria	(UID2495)	2993	147	91	1	144	2	0	0	0	99.94	2.2	0
STCSWMC_26	c__Deltaproteobacteria	(UID3216)	83	246	155	2	242	2	0	0	0	99.93	0.97	0
STC_130	c__Alphaproteobacteria	(UID3337)	468	388	250	1	387	0	0	0	0	99.9	0	0
STB_51	c__Betaproteobacteria	(UID3959)	235	418	210	1	417	0	0	0	0	99.84	0	0
